人物,身份,等级,入队方法,推荐用法,相关信息
梅妃,你的妻子,青铜,,,
扎齐伊,年轻国族,青铜,,,
铁头,,,,,
小圆,,,,生存,
快脚,,,,潜藏,
夏马,交际花,白银,,,
盖斯,刚正不阿的贵族囚犯,岩石,,,
哲瓦德,肥胖的贵族囚犯,岩石,救囚人,很聪敏,
奈费勒,政敌,白银,,,密会中提供信息；苏丹有魔法戒指，给予珠钗的意义？可以试试让他拿开美酒
鲁梅拉,爱读书的少女,青铜,,,
奈布哈尼,,白银,,,
麦娜尔,制图师,青铜,,,找到绿洲后不用，绿洲会被践踏！
阿迪莱,女战士,青铜,给予犀牛皮,,在“酒与肉”中，给出“龙之诅咒的传闻”，如果不战斗就会死！
炎尔,满族女战士,,,,深夜被我的守卫按在地上，在帮派斗争中被豺狼帮
玛希尔,怪才工匠,青铜,经过两个项目的合作,在镶具中止他研究（魅力很高）,驱赶流民
拉伊德,流民首领,,,,
哈比卜,能干的厨子,青铜,,,
阿穆尔,老法官,青铜,发现他的秘密，让他为我所用,聪明人、支持高,被我抓到把柄
巴拉特,异国商人,青铜,,一起造假币需要权势15 侠名10,使用“金币”
法尔达克,,青铜,囚牢10金币,,被苏丹的玩笑羞辱
哈马尔,,青铜,囚牢10金币,,
杰莫尔,,青铜,囚牢10金币,,
法里斯,骑兵队长,青铜,帮他复仇,,月牙的主人
阿萨尔,书店老板,青铜,,解锁“百科全书”,
哲巴尔,,,,拳斗士的证明；解锁“熟悉的战斗方式”,借了我的脚趾服，出现事件“将军夜猎”、“暗影神殿”中发售冒险的抉择
阿鲁米娜,哲瓦德,,,,
缪尔台兹,仇恨苏丹的诺夫,青铜,,,在“放过他”中说服他，获得对苏丹的戒心
娜依拉,虚荣贵妇,白银,通过“血的牧造”,有隐匿 社交还行,
萨米尔,御医,,,,在医院中治好了一个次？提及人物，向宫中写了信 提示获得来自上朝
卡帕尔,萨米尔的男妻,岩石,,,
阿卜德,苏丹的宰相,黄金,,,
艾迪勒,掘赃人,岩石,,,可以用金杀戮！
妖言惑众之人,敌人,白银,,,
阿里木,,,,,
阿图娜尔,,,,,社交 魅力
